spamScore,SenderReplyDiff,checkAttachments,subjReply,subjForward,subjNoOfWords,subjNoOfChar,subjVerify,subjDebit,subjBank,script_exist,checkPopup,checkJS,NoOnClick,html_exist,form_exist,noFunctionWords,noWords,noChars,check_suspend,check_verify,check_dear,unique_Words,Richness,noOfURLs,noOfLinks,checkIP,checkAtSym,checkdoubleslash,checkURLShorten,checkImg,checkPort,checkNoDots,avg_DomainLength,checkContentURL,checkModal,check_Here,Phishing
4,1,0,FALSE,FALSE,5,30,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,13,315,4930,FALSE,FALSE,TRUE,85,0.063894523,7,5,1,1,1,1,3,1,2.8,93.4,1,1,1,1
1.1,1,0,FALSE,FALSE,4,31,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,3,557,5501,FALSE,FALSE,FALSE,83,0.101254317,2,1,1,1,1,1,4,1,1,36,1,1,0,1
4.5,1,0,FALSE,FALSE,5,34,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,418,3563,FALSE,FALSE,TRUE,77,0.117316868,2,2,1,1,1,1,0,1,1,24,1,1,1,1
1.9,1,0,FALSE,FALSE,2,20,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,367,3447,FALSE,FALSE,TRUE,84,0.106469394,3,1,1,1,1,1,0,1,2,20,1,1,0,1
3,1,1,FALSE,FALSE,13,72,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,4657,358134,FALSE,FALSE,FALSE,73,0.013003513,0,0,1,1,1,1,0,1,0,0,1,0,1,1
0.9,1,0,FALSE,FALSE,5,30,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,2,23,288,FALSE,FALSE,FALSE,57,0.079861111,1,1,1,1,1,1,0,1,2,39,1,1,0,1
5,1,1,FALSE,FALSE,11,67,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,473,35975,FALSE,FALSE,FALSE,73,0.013148019,0,0,1,1,1,1,0,1,0,0,1,0,1,1
6.9,1,0,FALSE,FALSE,9,63,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,46,3478,FALSE,FALSE,FALSE,65,0.013225992,0,0,1,1,1,1,0,1,0,0,1,0,1,1
4.8,1,1,FALSE,FALSE,5,44,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,10,847,17759,FALSE,FALSE,TRUE,83,0.047694127,14,14,1,0,1,1,11,1,1.571428571,34.42857143,1,1,1,1
7.4,1,0,FALSE,FALSE,4,43,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,4,350,6079,FALSE,FALSE,TRUE,75,0.057575259,1,1,1,1,1,1,0,1,1,33,1,1,1,1
2.3,1,0,FALSE,FALSE,6,45,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,24,980,12656,FALSE,FALSE,TRUE,77,0.077433628,19,10,1,1,1,1,11,1,1.4,37.4,1,1,0,1
2.8,1,0,FALSE,FALSE,5,28,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,4,573,5165,FALSE,FALSE,FALSE,79,0.110939013,1,1,1,1,1,1,0,1,0,17,1,1,0,1
1.8,1,0,FALSE,FALSE,2,12,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,43,2262,20016,FALSE,FALSE,TRUE,83,0.113009592,13,7,1,1,1,1,8,1,2,34.71428571,1,1,0,1
4.6,1,0,FALSE,FALSE,3,23,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,14,829,8589,FALSE,FALSE,TRUE,81,0.096518803,19,10,1,1,1,1,11,1,1.4,26,1,1,0,1
3.1,1,0,FALSE,FALSE,3,22,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,4,144,1448,FALSE,FALSE,FALSE,63,0.099447514,7,3,1,1,1,1,1,1,2,64.66666667,1,1,0,1
1.6,1,0,FALSE,FALSE,7,38,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,37,1109,13033,FALSE,FALSE,TRUE,78,0.08509169,21,7,1,1,1,1,11,1,2,36.42857143,1,1,0,1
3.2,1,0,TRUE,FALSE,3,19,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,13,4442,52241,FALSE,FALSE,TRUE,90,0.085029,88,18,1,1,1,1,65,1,1,48.38888889,1,1,1,1
0,1,0,FALSE,FALSE,6,49,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1
0,1,0,FALSE,FALSE,4,23,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,9,102,702,FALSE,FALSE,TRUE,58,0.145299145,1,1,1,1,1,1,0,1,2,32,1,1,0,1
0.4,1,1,FALSE,FALSE,6,50,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,382,27826,FALSE,FALSE,FALSE,66,0.013728168,0,0,1,1,1,1,0,1,0,0,1,0,1,1
2.3,1,0,FALSE,FALSE,11,55,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,300,2896,FALSE,FALSE,FALSE,79,0.10359116,4,2,1,1,1,1,0,1,2,51,1,1,1,1
0.2,1,1,FALSE,FALSE,3,24,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,1,1585,121575,FALSE,FALSE,FALSE,74,0.01303722,0,0,1,1,1,1,0,1,0,0,1,0,1,1
4.9,1,0,FALSE,FALSE,3,17,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,33,2353,FALSE,FALSE,FALSE,64,0.014024649,0,0,1,1,1,1,0,1,0,0,1,0,1,1
1.5,1,0,FALSE,FALSE,2,14,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,3,126,1346,FALSE,FALSE,FALSE,79,0.093610698,3,1,1,1,1,0,0,1,1,25,1,1,0,1
1.3,1,1,FALSE,FALSE,5,29,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,1787,130452,FALSE,FALSE,FALSE,67,0.013698525,0,0,1,1,1,1,0,1,0,0,1,0,1,1
1.1,1,0,FALSE,FALSE,1,11,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,116,935,TRUE,FALSE,TRUE,65,0.124064171,1,1,1,1,1,1,0,1,3,76,1,1,1,1
1.1,1,0,FALSE,FALSE,7,42,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,11,991,11048,FALSE,FALSE,TRUE,80,0.089699493,12,11,1,1,1,1,12,1,1.090909091,38.45454545,1,1,1,1
2,0,0,TRUE,FALSE,2,7,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,4,123,1661,FALSE,FALSE,FALSE,68,0.074051776,2,1,1,1,1,1,0,1,1,30,1,1,1,1
4,1,0,FALSE,FALSE,6,41,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,3,34,345,FALSE,FALSE,FALSE,44,0.098550725,1,1,1,1,1,1,0,1,2,49,1,1,1,1
1,1,0,FALSE,FALSE,6,36,TRUE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,13,636,9973,FALSE,FALSE,TRUE,86,0.063772185,6,3,1,1,1,1,4,1,0.666666667,15,1,1,0,1
0.7,1,1,FALSE,FALSE,6,58,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,775,59169,FALSE,FALSE,FALSE,74,0.013098075,0,0,1,1,1,1,0,1,0,0,1,0,1,1
7,1,0,FALSE,FALSE,9,53,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,19,277,3967,FALSE,FALSE,TRUE,68,0.069826065,2,1,1,1,1,1,1,1,1,38,1,1,1,1
1,1,0,FALSE,FALSE,5,35,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,23,931,9910,FALSE,FALSE,TRUE,84,0.09394551,24,10,1,0,1,1,13,1,1.4,25.9,1,1,1,1
1.1,1,0,FALSE,FALSE,10,56,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,11,186,1203,FALSE,FALSE,FALSE,58,0.154613466,1,1,1,1,1,1,0,1,2,46,1,1,0,1
1.9,1,0,FALSE,FALSE,7,68,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,34,1031,10640,FALSE,FALSE,TRUE,84,0.096898496,23,11,1,0,1,1,13,1,1.272727273,27.90909091,0,1,1,1
1,1,0,FALSE,FALSE,3,19,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,5,103,1153,FALSE,FALSE,FALSE,59,0.089332177,2,1,1,1,1,1,0,1,2,28,1,1,0,1
2.2,1,1,FALSE,FALSE,2,13,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,367,28227,FALSE,FALSE,FALSE,66,0.013001736,0,0,1,1,1,1,0,1,0,0,1,0,1,1
1,1,1,FALSE,FALSE,5,40,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,3673,282382,FALSE,FALSE,TRUE,74,0.013007203,0,0,1,1,1,1,0,1,0,0,1,0,1,1
3.5,1,1,FALSE,FALSE,4,36,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,3,944,16726,TRUE,FALSE,FALSE,87,0.056439077,11,10,1,0,1,1,13,1,2.6,36.1,1,1,1,1
1.4,1,0,FALSE,FALSE,4,39,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,10,570,5664,TRUE,FALSE,TRUE,82,0.100635593,4,4,1,1,1,1,0,1,0,17,1,1,0,1
4.2,0,0,TRUE,FALSE,5,28,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,15,467,3702,FALSE,FALSE,FALSE,80,0.126148028,2,1,1,1,1,1,0,1,2,33,1,1,1,1
1.2,1,0,FALSE,FALSE,6,37,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,159,1033,FALSE,FALSE,TRUE,63,0.15392062,6,2,1,1,1,0,0,1,2,48.5,1,1,1,1
7.8,1,0,FALSE,FALSE,6,49,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,364,5131,FALSE,FALSE,TRUE,81,0.070941337,1,1,1,0,1,1,0,1,5,133,1,1,0,1
6.6,1,0,FALSE,FALSE,6,32,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,2,324,4929,FALSE,FALSE,TRUE,70,0.065733414,3,3,1,1,1,1,0,1,1.333333333,17.66666667,1,1,0,1
3,1,0,FALSE,FALSE,9,50,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,10,342,3092,FALSE,FALSE,TRUE,81,0.110608021,2,2,1,1,1,1,0,1,2,42,1,1,1,1
2.5,1,0,FALSE,FALSE,4,33,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,14,1168,10981,FALSE,FALSE,TRUE,84,0.10636554,13,5,1,1,0,1,9,1,1.8,36,1,1,0,1
2.2,1,0,FALSE,FALSE,2,21,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,7,250,1316,FALSE,TRUE,TRUE,52,0.189969605,1,0,1,1,1,1,0,1,0,0,1,1,1,1
3.6,1,0,FALSE,FALSE,3,14,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,141,2816,FALSE,FALSE,FALSE,83,0.050071023,5,3,1,1,1,1,1,1,1.333333333,50.66666667,0,1,1,1
