SenderReplyDiff,checkAttachments,subjReply,subjForward,subjNoOfWords,subjNoOfChar,subjVerify,subjDebit,subjBank,script_exist,checkPopup,checkJS,NoOnClick,html_exist,form_exist,noFunctionWords,avgDomainLength,noWords,check_suspend,check_verify,noOfURLs,noOfLinks,checkIP,checkAtSym,checkURLShorten,checkImg,checkPort,Phishing
1,0,False,False,2,20,False,False,False,False,0,0,0,True,False,8,18.0,1609,False,False,0,1,1,1,0,0,1,1
1,0,False,False,1,6,False,False,False,False,0,0,0,True,False,2,34.0,80,False,False,1,1,1,1,1,0,1,1
1,0,False,False,6,32,False,False,False,False,0,0,0,True,False,5,27.615384615384617,1000,False,False,54,13,1,0,1,12,1,1
1,0,False,False,3,21,True,False,True,False,0,0,0,True,False,25,54.0,417,False,False,4,2,0,1,1,2,1,1
1,1,False,False,5,33,False,False,False,False,0,0,0,True,False,9,36.1,1299,False,False,11,10,1,0,1,14,1,1
1,0,False,False,4,25,False,False,False,False,0,0,0,True,False,5,65.0,72,False,False,2,1,1,1,1,0,1,1
1,0,False,False,7,53,False,False,False,False,0,0,0,True,False,6,3.0,369,False,False,7,2,1,1,1,2,1,1
1,0,False,False,1,6,False,False,False,False,0,0,0,True,False,4,0,101,False,False,1,0,1,1,1,0,1,1
1,0,False,False,2,21,False,False,False,False,0,0,0,True,False,9,40.0,250,False,True,1,1,1,1,1,0,1,1
1,1,False,False,6,39,False,False,False,False,0,0,0,True,False,0,0,1136,False,False,0,0,1,1,1,0,1,1
1,0,False,False,10,76,False,False,False,False,0,0,0,True,False,6,14.0,293,False,False,1,1,1,1,1,0,1,1
1,1,False,False,9,52,False,False,False,False,0,0,0,True,False,10,33.642857142857146,843,False,False,16,14,1,0,1,11,1,1
1,0,False,False,3,25,False,False,False,False,0,0,0,True,False,4,24.0,223,False,False,1,1,1,1,1,0,1,1
1,0,False,False,4,30,False,False,False,False,0,0,0,True,False,11,29.0,804,False,False,1,1,1,1,1,0,1,1
1,0,False,False,4,24,False,False,False,False,0,0,0,True,False,12,27.0,1154,False,False,2,2,1,1,1,0,1,1
1,0,False,False,4,25,False,False,False,False,0,0,0,True,False,4,27.0,84,False,False,2,1,1,1,1,0,1,1
1,0,False,False,2,20,False,False,False,False,0,0,0,True,False,16,46.5,587,False,True,3,2,1,1,1,0,1,1
1,1,False,False,7,56,False,False,False,False,0,0,0,True,False,0,0,770,False,False,0,0,1,1,1,0,1,1
1,0,True,False,5,30,False,False,False,False,0,0,0,True,True,1,41.0,695,False,False,6,1,1,1,1,2,1,1
1,1,False,False,3,21,False,False,False,False,0,0,0,True,False,0,0,187,False,False,0,0,1,1,1,0,1,1
1,0,False,False,4,31,False,False,False,False,0,0,0,True,False,7,16.0,362,True,False,1,1,1,1,1,0,1,1
1,0,False,False,2,13,False,False,False,False,0,0,0,True,False,8,26.0,460,False,False,1,2,1,1,1,0,1,1
0,0,True,False,5,27,False,False,False,False,0,0,0,True,False,7,0,148,False,False,1,0,1,1,1,0,1,1
1,1,False,False,4,36,False,False,False,True,0,1,0,True,False,8,0,1061,False,False,0,0,1,1,1,0,1,1
1,1,False,False,1,12,False,False,False,False,0,0,0,True,False,1,0,1120,False,False,0,0,1,1,1,0,1,1
1,1,False,False,7,62,False,False,False,False,0,0,0,True,False,0,0,2378,False,False,0,0,1,1,1,0,1,1
1,0,False,False,10,53,False,False,False,False,0,0,0,True,False,22,44.36363636363637,1370,False,False,23,11,1,1,1,11,1,1
1,0,False,False,2,21,False,False,False,False,0,0,0,True,False,9,40.0,250,False,True,1,1,1,1,1,0,1,1
1,0,False,False,8,59,False,False,False,True,0,1,0,True,True,30,32.69230769230769,1675,False,True,22,13,1,1,1,15,1,1
1,1,False,False,2,15,False,False,False,False,0,0,0,True,False,0,0,752,False,False,0,0,1,1,1,0,1,1
1,0,False,False,3,28,False,False,False,False,0,0,0,True,False,0,63.0,83,False,False,1,1,1,0,1,0,1,1
1,0,False,False,3,20,False,False,False,False,0,0,0,True,False,3,19.5,405,False,False,2,2,1,1,1,0,1,1
1,0,False,False,6,35,False,False,False,False,0,0,0,True,False,3,0,235,False,False,1,0,1,1,1,0,1,1
1,0,False,False,6,49,False,False,False,False,0,0,0,True,False,43,41.0,1251,False,False,23,8,1,1,1,12,1,1
1,0,False,False,3,17,False,False,False,False,0,0,0,True,False,0,19.0,674,False,False,1,1,1,1,1,0,1,1
1,1,False,False,3,16,False,False,False,False,0,0,0,True,False,0,0,482,False,False,0,0,1,1,1,0,1,1
1,0,False,False,5,39,False,False,False,False,0,0,0,True,False,0,29.0,37,False,False,2,1,1,1,1,1,1,1
